,SAP,iteration,questions_rank,similarity_avg_changes,time,Anon Student Id,unit,user_questionaire
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'u/8 = 8q/8'}}",0,0,XJyS25Yg27,Unit ES_04,XJyS25Yg27Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'u/8 = 8q/8'}}",0,0,XJyS25Yg27,Unit ES_04,XJyS25Yg27Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: 'u/8 = 8q/8'}}",,0.003,XJyS25Yg27,Unit ES_04,XJyS25Yg27Unit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'x1R1', 1: '(-845/19)/2 = 2x/2'}}",0,0,M7hLaVJGvX,Unit ES_04,M7hLaVJGvXUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: '(-845/19)/2 = 2x/2'}}",0.246666667,0,M7hLaVJGvX,Unit ES_04,M7hLaVJGvXUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'x1R1', 1: '(-845/19)/2 = 2x/2'}}",,0.001,M7hLaVJGvX,Unit ES_04,M7hLaVJGvXUnit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'h*m/h = (a-h*3-b)/h'}}",0,0,6bJ4auIa8L,Unit ES_04,6bJ4auIa8LUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'h*m/h = (a-h*3-b)/h'}}",0,0,6bJ4auIa8L,Unit ES_04,6bJ4auIa8LUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: 'h*m/h = (a-h*3-b)/h'}}",,0.003,6bJ4auIa8L,Unit ES_04,6bJ4auIa8LUnit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: '7 = 2(y+1)', 1: 'FinalAnswer'}}",0,0,Exz0X2naK1,Unit ES_04,Exz0X2naK1Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0,0,Exz0X2naK1,Unit ES_04,Exz0X2naK1Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: '7 = 2(y+1)', 1: 'FinalAnswer'}}",,0.002,Exz0X2naK1,Unit ES_04,Exz0X2naK1Unit ES_04
0,1,0,"{'Difficulty': {0: 1.0, 1: 0.0, 2: 1.0, 3: -2.0}, 'Step Name': {0: 'constant termsR2', 1: 'k*c+r-r = 7-r', 2: 'x1R1', 3: 'FinalAnswer'}}",0,0.001,77y7iIIXuv,Unit ES_04,77y7iIIXuvUnit ES_04
1,1,1,"{'Difficulty': {0: 0, 1: 0, 2: 0}, 'Step Name': {0: 'constant termsR2', 1: 'k*c+r-r = 7-r', 2: 'x1R1'}}",0,0,77y7iIIXuv,Unit ES_04,77y7iIIXuvUnit ES_04
2,1,2,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'k*c+r-r = 7-r', 1: 'x1R1'}}",0,0,77y7iIIXuv,Unit ES_04,77y7iIIXuvUnit ES_04
3,1,3,"{'Difficulty': {0: 0}, 'Step Name': {0: 'x1R1'}}",0,0,77y7iIIXuv,Unit ES_04,77y7iIIXuvUnit ES_04
4,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3}, 'Step Name': {0: 'FinalAnswer', 1: 'constant termsR2', 2: 'k*c+r-r = 7-r', 3: 'x1R1'}}",,0.007,77y7iIIXuv,Unit ES_04,77y7iIIXuvUnit ES_04
0,1,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'pm-r-num-node'}}",0,0,D4md1bS6DC,Unit ES_04,D4md1bS6DCUnit ES_04
1,1,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'pm-r-num-node'}}",,0,D4md1bS6DC,Unit ES_04,D4md1bS6DCUnit ES_04
0,0.75,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: '(j*t+j*-w)/j*j = b/j*j', 1: 'x1R1'}}",0,0,88Uhb8760x,Unit ES_04,88Uhb8760xUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'x1R1'}}",0,0,88Uhb8760x,Unit ES_04,88Uhb8760xUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: '(j*t+j*-w)/j*j = b/j*j', 1: 'x1R1'}}",,0.001,88Uhb8760x,Unit ES_04,88Uhb8760xUnit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'x1R1', 1: 'b+r*y-b = v-s-r*x-b'}}",0,0,2IaH8665Ha,Unit ES_04,2IaH8665HaUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'b+r*y-b = v-s-r*x-b'}}",0,0,2IaH8665Ha,Unit ES_04,2IaH8665HaUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'x1R1', 1: 'b+r*y-b = v-s-r*x-b'}}",,0.001,2IaH8665Ha,Unit ES_04,2IaH8665HaUnit ES_04
0,1,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'constant terms2R1'}}",0,0,Axp5cwW7T8,Unit ES_04,Axp5cwW7T8Unit ES_04
1,1,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'constant terms2R1'}}",,0,Axp5cwW7T8,Unit ES_04,Axp5cwW7T8Unit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 't/(-g) = -g*k/(-g)', 1: 'FinalAnswer'}}",0,0,m64Rgy40OF,Unit ES_04,m64Rgy40OFUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0,0,m64Rgy40OF,Unit ES_04,m64Rgy40OFUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 't/(-g) = -g*k/(-g)', 1: 'FinalAnswer'}}",,0.003,m64Rgy40OF,Unit ES_04,m64Rgy40OFUnit ES_04
0,1,0,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: '5*-6x+(-40)+8x = 4', 1: 'FinalAnswer', 2: 'x1R1'}}",0,0.001,c1zVCHxCEz,Unit ES_04,c1zVCHxCEzUnit ES_04
1,1,1,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'FinalAnswer', 1: 'x1R1'}}",0,0,c1zVCHxCEz,Unit ES_04,c1zVCHxCEzUnit ES_04
2,1,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'x1R1'}}",2.400434843,0,c1zVCHxCEz,Unit ES_04,c1zVCHxCEzUnit ES_04
3,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: '5*-6x+(-40)+8x = 4', 1: 'FinalAnswer', 2: 'x1R1'}}",,0.006,c1zVCHxCEz,Unit ES_04,c1zVCHxCEzUnit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: 't/k*k = -g*k'}}",0,0,wwSQeRjs22,Unit ES_04,wwSQeRjs22Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 't/k*k = -g*k'}}",0.583333333,0,wwSQeRjs22,Unit ES_04,wwSQeRjs22Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: 't/k*k = -g*k'}}",,0.001,wwSQeRjs22,Unit ES_04,wwSQeRjs22Unit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'row1-D-t'}}",0,0,1bJbgQ32E3,Unit ES_04,1bJbgQ32E3Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'row1-D-t'}}",2.248046398,0,1bJbgQ32E3,Unit ES_04,1bJbgQ32E3Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: 'row1-D-t'}}",,0.004,1bJbgQ32E3,Unit ES_04,1bJbgQ32E3Unit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0, 2: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'constant termsR2', 2: '17/c = c*x/c'}}",0,0,6W08a98ZQV,Unit ES_04,6W08a98ZQVUnit ES_04
1,1,1,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'constant termsR2', 1: '17/c = c*x/c'}}",1.722222222,0,6W08a98ZQV,Unit ES_04,6W08a98ZQVUnit ES_04
2,1,2,"{'Difficulty': {0: 0}, 'Step Name': {0: '17/c = c*x/c'}}",0.333333333,0,6W08a98ZQV,Unit ES_04,6W08a98ZQVUnit ES_04
3,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'FinalAnswer', 1: 'constant termsR2', 2: '17/c = c*x/c'}}",,0.003,6W08a98ZQV,Unit ES_04,6W08a98ZQVUnit ES_04
0,1,0,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: '5(-7x-1)-8x = -6', 1: 'FinalAnswer', 2: 'xR2'}}",0,0,l5eh0S53tB,Unit ES_04,l5eh0S53tBUnit ES_04
1,1,1,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'FinalAnswer', 1: 'xR2'}}",0,0,l5eh0S53tB,Unit ES_04,l5eh0S53tBUnit ES_04
2,1,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'xR2'}}",2.636226525,0,l5eh0S53tB,Unit ES_04,l5eh0S53tBUnit ES_04
3,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: '5(-7x-1)-8x = -6', 1: 'FinalAnswer', 2: 'xR2'}}",,0.007,l5eh0S53tB,Unit ES_04,l5eh0S53tBUnit ES_04
0,0.75,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'constant terms1R1', 1: '17/w*w = b*w'}}",0,0,46z59pQP58,Unit ES_04,46z59pQP58Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: '17/w*w = b*w'}}",1.833333333,0,46z59pQP58,Unit ES_04,46z59pQP58Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'constant terms1R1', 1: '17/w*w = b*w'}}",,0.001,46z59pQP58,Unit ES_04,46z59pQP58Unit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'q*c*(v+r)/(q*c) = d*x/(q*c)'}}",0,0,saNy7ix5ZY,Unit ES_04,saNy7ix5ZYUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'q*c*(v+r)/(q*c) = d*x/(q*c)'}}",8.687460317,0,saNy7ix5ZY,Unit ES_04,saNy7ix5ZYUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: 'q*c*(v+r)/(q*c) = d*x/(q*c)'}}",,0.003,saNy7ix5ZY,Unit ES_04,saNy7ix5ZYUnit ES_04
0,1,0,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'x1R1', 1: 'x2R1', 2: 'FinalAnswer'}}",0,0.001,242fhbKRf9,Unit ES_04,242fhbKRf9Unit ES_04
1,1,1,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'x2R1', 1: 'FinalAnswer'}}",0.111111111,0,242fhbKRf9,Unit ES_04,242fhbKRf9Unit ES_04
2,1,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0,0,242fhbKRf9,Unit ES_04,242fhbKRf9Unit ES_04
3,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'x1R1', 1: 'x2R1', 2: 'FinalAnswer'}}",,0.005,242fhbKRf9,Unit ES_04,242fhbKRf9Unit ES_04
