,SAP,iteration,questions_rank,similarity_avg_changes,time,Anon Student Id,unit
0,1.0,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0.0,0.0,verm1Wp12u,Unit ES_04
1,1.0,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",,0.003,verm1Wp12u,Unit ES_04
0,1.0,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'm*(y+u)/m = c/m'}}",0.0,0.0,h9Tx9ulI5Q,Unit ES_04
1,1.0,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'm*(y+u)/m = c/m'}}",,0.0,h9Tx9ulI5Q,Unit ES_04
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: '-3 = x*c', 1: 'FinalAnswer'}}",0.0,0.0,ljX78ko847,Unit ES_04
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0.0,0.0,ljX78ko847,Unit ES_04
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: '-3 = x*c', 1: 'FinalAnswer'}}",,0.001,ljX78ko847,Unit ES_04
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'x1R1', 1: '-14.34245578 = y-1647.26'}}",0.0,0.0,U9iFacSl34,Unit ES_04
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: '-14.34245578 = y-1647.26'}}",0.0,0.0,U9iFacSl34,Unit ES_04
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'x1R1', 1: '-14.34245578 = y-1647.26'}}",,0.001,U9iFacSl34,Unit ES_04
0,1.0,0,"{'Difficulty': {0: 1.0, 1: 0.0, 2: -1.0}, 'Step Name': {0: 'y1R1', 1: 'row1-D-m', 2: 'FinalAnswer'}}",0.0,0.001,Gwk4z777oU,Unit ES_04
1,1.0,1,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'y1R1', 1: 'row1-D-m'}}",0.35,0.0,Gwk4z777oU,Unit ES_04
2,1.0,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'row1-D-m'}}",0.0,0.0,Gwk4z777oU,Unit ES_04
3,1.0,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'FinalAnswer', 1: 'y1R1', 2: 'row1-D-m'}}",,0.006,Gwk4z777oU,Unit ES_04
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'constant termsR2', 1: 'row1-N-v'}}",0.0,0.0,EWHJMBPf94,Unit ES_04
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'row1-N-v'}}",0.0,0.0,EWHJMBPf94,Unit ES_04
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'constant termsR2', 1: 'row1-N-v'}}",,0.001,EWHJMBPf94,Unit ES_04
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'j*n = b-c-j*3'}}",0.0,0.0,s19Mo891H5,Unit ES_04
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'j*n = b-c-j*3'}}",0.361111111111,0.0,s19Mo891H5,Unit ES_04
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: 'j*n = b-c-j*3'}}",,0.003,s19Mo891H5,Unit ES_04
0,0.75,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'constant terms1R1', 1: '1114.84 = -73.2y'}}",0.0,0.0,68gXsA3M68,Unit ES_04
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: '1114.84 = -73.2y'}}",0.0,0.0,68gXsA3M68,Unit ES_04
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'constant terms1R1', 1: '1114.84 = -73.2y'}}",,0.001,68gXsA3M68,Unit ES_04
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'u/8 = 8q/8'}}",0.0,0.0,XJyS25Yg27,Unit ES_04
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'u/8 = 8q/8'}}",0.0,0.0,XJyS25Yg27,Unit ES_04
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: 'u/8 = 8q/8'}}",,0.003,XJyS25Yg27,Unit ES_04
0,1.0,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0.0,0.0,0w8srd7i18,Unit ES_04
1,1.0,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",,0.001,0w8srd7i18,Unit ES_04
0,0.72,0,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}, 'Step Name': {0: 'R4C2', 1: 'R3C2', 2: 'R5C1', 3: 'R2C1', 4: 'R3C1'}}",0.0,0.001,c3Ee3W8hyq,Unit CTA1_10
1,0.8125,1,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'R3C2', 1: 'R5C1', 2: 'R2C1', 3: 'R3C1'}}",0.4,0.001,c3Ee3W8hyq,Unit CTA1_10
2,1.0,2,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'R5C1', 1: 'R2C1', 2: 'R3C1'}}",0.0,0.001,c3Ee3W8hyq,Unit CTA1_10
3,1.0,3,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'R2C1', 1: 'R3C1'}}",0.481481481481,0.0,c3Ee3W8hyq,Unit CTA1_10
4,1.0,4,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R3C1'}}",0.0864197530864,0.0,c3Ee3W8hyq,Unit CTA1_10
5,0.9,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4}, 'Step Name': {0: 'R4C2', 1: 'R3C2', 2: 'R5C1', 3: 'R2C1', 4: 'R3C1'}}",,0.005,c3Ee3W8hyq,Unit CTA1_10
0,0.877551020408,0,"{'Difficulty': {0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}, 'Step Name': {0: 'R5C1', 1: 'R7C1', 2: 'R3C2', 3: 'R3C1', 4: 'R1C1', 5: 'R1C2', 6: 'R6C2'}}",0.0,0.001,80nlN05JQ6,Unit CTA1_10
1,0.861111111111,1,"{'Difficulty': {0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}, 'Step Name': {0: 'R7C1', 1: 'R3C2', 2: 'R3C1', 3: 'R1C1', 4: 'R1C2', 5: 'R6C2'}}",0.0,0.001,80nlN05JQ6,Unit CTA1_10
2,0.84,2,"{'Difficulty': {0: 0, 1: 0, 2: 0, 3: 0, 4: 0}, 'Step Name': {0: 'R3C2', 1: 'R3C1', 2: 'R1C1', 3: 'R1C2', 4: 'R6C2'}}",0.0,0.001,80nlN05JQ6,Unit CTA1_10
3,1.0,3,"{'Difficulty': {0: 0, 1: 0, 2: 0, 3: 0}, 'Step Name': {0: 'R3C1', 1: 'R1C1', 2: 'R1C2', 3: 'R6C2'}}",0.0,0.0,80nlN05JQ6,Unit CTA1_10
4,1.0,4,"{'Difficulty': {0: 0, 1: 0, 2: 0}, 'Step Name': {0: 'R1C1', 1: 'R1C2', 2: 'R6C2'}}",0.0,0.0,80nlN05JQ6,Unit CTA1_10
5,1.0,5,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'R1C2', 1: 'R6C2'}}",0.0,0.0,80nlN05JQ6,Unit CTA1_10
6,1.0,6,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R6C2'}}",0.0,0.0,80nlN05JQ6,Unit CTA1_10
7,0.904761904762,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 'Step Name': {0: 'R5C1', 1: 'R7C1', 2: 'R3C2', 3: 'R3C1', 4: 'R1C1', 5: 'R1C2', 6: 'R6C2'}}",,0.005,80nlN05JQ6,Unit CTA1_10
0,0.910714285714,0,"{'Difficulty': {0: -5.0, 1: 3.0, 2: 3.0, 3: 2.0, 4: -3.0, 5: 5.0, 6: -3.0, 7: -2.0}, 'Step Name': {0: 'R3C2', 1: 'R3C1', 2: 'R4C2', 3: 'R7C1', 4: 'R1C2', 5: 'R5C2', 6: 'R5C1', 7: 'R4C1'}}",0.0,0.007,Qwq8d0du28,Unit CTA1_10
1,0.880952380952,1,"{'Difficulty': {0: 2.0, 1: 2.0, 2: 1.0, 3: -3.0, 4: 4.0, 5: -3.0, 6: -3.0}, 'Step Name': {0: 'R3C1', 1: 'R4C2', 2: 'R7C1', 3: 'R1C2', 4: 'R5C2', 5: 'R5C1', 6: 'R4C1'}}",0.0,0.005,Qwq8d0du28,Unit CTA1_10
2,0.875,2,"{'Difficulty': {0: 2.0, 1: 1.0, 2: 0.0, 3: 3.0, 4: -3.0, 5: -3.0}, 'Step Name': {0: 'R3C1', 1: 'R4C2', 2: 'R7C1', 3: 'R5C2', 4: 'R5C1', 5: 'R4C1'}}",1.10066137566,0.004,Qwq8d0du28,Unit CTA1_10
3,0.84,3,"{'Difficulty': {0: 1.0, 1: 2.0, 2: -1.0, 3: 2.0, 4: -4.0}, 'Step Name': {0: 'R3C1', 1: 'R4C2', 2: 'R7C1', 3: 'R5C2', 4: 'R4C1'}}",0.125220458554,0.002,Qwq8d0du28,Unit CTA1_10
4,0.8125,4,"{'Difficulty': {0: 0.0, 1: 1.0, 2: -2.0, 3: 1.0}, 'Step Name': {0: 'R3C1', 1: 'R4C2', 2: 'R7C1', 3: 'R5C2'}}",0.0411522633745,0.001,Qwq8d0du28,Unit CTA1_10
5,0.777777777778,5,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'R3C1', 1: 'R4C2', 2: 'R5C2'}}",1.57927197802,0.001,Qwq8d0du28,Unit CTA1_10
6,0.75,6,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'R4C2', 1: 'R5C2'}}",1.95169626969,0.0,Qwq8d0du28,Unit CTA1_10
7,1.0,7,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R5C2'}}",0.315044091711,0.0,Qwq8d0du28,Unit CTA1_10
8,0.910714285714,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 'Step Name': {0: 'R3C2', 1: 'R1C2', 2: 'R5C1', 3: 'R4C1', 4: 'R7C1', 5: 'R3C1', 6: 'R4C2', 7: 'R5C2'}}",,0.028,Qwq8d0du28,Unit CTA1_10
0,0.8125,0,"{'Difficulty': {0: 0, 1: 0, 2: 0, 3: 0}, 'Step Name': {0: 'R3C2', 1: 'R5C1', 2: 'R6C1', 3: 'R3C1'}}",0.0,0.001,66Ak255E3j,Unit CTA1_10
1,1.0,1,"{'Difficulty': {0: 0, 1: 0, 2: 0}, 'Step Name': {0: 'R5C1', 1: 'R6C1', 2: 'R3C1'}}",0.0,0.0,66Ak255E3j,Unit CTA1_10
2,1.0,2,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'R6C1', 1: 'R3C1'}}",0.0,0.0,66Ak255E3j,Unit CTA1_10
3,1.0,3,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R3C1'}}",0.0,0.0,66Ak255E3j,Unit CTA1_10
4,1.0,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3}, 'Step Name': {0: 'R3C2', 1: 'R5C1', 2: 'R6C1', 3: 'R3C1'}}",,0.002,66Ak255E3j,Unit CTA1_10
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'R6C2', 1: 'R1C1'}}",0.0,0.0,D4md1bS6DC,Unit CTA1_10
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R1C1'}}",0.0,0.0,D4md1bS6DC,Unit CTA1_10
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'R6C2', 1: 'R1C1'}}",,0.001,D4md1bS6DC,Unit CTA1_10
0,1.0,0,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'R4C1', 1: 'A-200 = 800', 2: 'R7C1'}}",0.0,0.001,yuB6nxh3FX,Unit CTA1_10
1,1.0,1,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'A-200 = 800', 1: 'R7C1'}}",0.930555555556,0.0,yuB6nxh3FX,Unit CTA1_10
2,1.0,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R7C1'}}",0.0,0.0,yuB6nxh3FX,Unit CTA1_10
3,1.0,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'R4C1', 1: 'A-200 = 800', 2: 'R7C1'}}",,0.003,yuB6nxh3FX,Unit CTA1_10
0,1.0,0,"{'Difficulty': {0: -2.0, 1: 1.0, 2: 1.0, 3: 0.0}, 'Step Name': {0: 'R3C2', 1: 'R4C1', 2: 'R6C1', 3: '1470+7(X-30) = 2150'}}",0.0,0.001,6O31vedZbI,Unit CTA1_10
1,1.0,1,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'R4C1', 1: 'R6C1', 2: '1470+7(X-30) = 2150'}}",0.0,0.001,6O31vedZbI,Unit CTA1_10
2,1.0,2,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'R6C1', 1: '1470+7(X-30) = 2150'}}",0.0,0.0,6O31vedZbI,Unit CTA1_10
3,1.0,3,"{'Difficulty': {0: 0}, 'Step Name': {0: '1470+7(X-30) = 2150'}}",0.0,0.0,6O31vedZbI,Unit CTA1_10
4,1.0,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3}, 'Step Name': {0: 'R3C2', 1: 'R4C1', 2: 'R6C1', 3: '1470+7(X-30) = 2150'}}",,0.003,6O31vedZbI,Unit CTA1_10
0,1.0,0,"{'Difficulty': {0: 1.0, 1: -2.0, 2: 1.0, 3: -4.0, 4: 4.0}, 'Step Name': {0: 'R4C1', 1: 'R5C1', 2: 'R6C1', 3: 'R3C2', 4: 'ValidEquations'}}",0.0,0.004,apCLF0uF21,Unit CTA1_10
1,1.0,1,"{'Difficulty': {0: 0.0, 1: -3.0, 2: 0.0, 3: 3.0}, 'Step Name': {0: 'R4C1', 1: 'R5C1', 2: 'R6C1', 3: 'ValidEquations'}}",2.60922902494,0.002,apCLF0uF21,Unit CTA1_10
2,1.0,2,"{'Difficulty': {0: -1.0, 1: -1.0, 2: 2.0}, 'Step Name': {0: 'R4C1', 1: 'R6C1', 2: 'ValidEquations'}}",0.349294082712,0.001,apCLF0uF21,Unit CTA1_10
3,1.0,3,"{'Difficulty': {0: -1.0, 1: 1.0}, 'Step Name': {0: 'R6C1', 1: 'ValidEquations'}}",1.13100307999,0.001,apCLF0uF21,Unit CTA1_10
4,1.0,4,"{'Difficulty': {0: 0}, 'Step Name': {0: 'ValidEquations'}}",0.833561660816,0.0,apCLF0uF21,Unit CTA1_10
5,1.0,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4}, 'Step Name': {0: 'R3C2', 1: 'R5C1', 2: 'R4C1', 3: 'R6C1', 4: 'ValidEquations'}}",,0.015,apCLF0uF21,Unit CTA1_10
0,1.0,0,"{'Difficulty': {0: -2.0, 1: 1.0, 2: 3.0, 3: 0.0, 4: -6.0, 5: 1.0, 6: 3.0}, 'Step Name': {0: 'R2C2', 1: 'R3C1', 2: 'ValidEquations', 3: 'R4C1', 4: 'R3C2', 5: 'R2C1', 6: 'R1C1'}}",0.0,0.004,c1zVCHxCEz,Unit CTA1_10
1,1.0,1,"{'Difficulty': {0: -3.0, 1: 0.0, 2: 2.0, 3: -1.0, 4: 0.0, 5: 2.0}, 'Step Name': {0: 'R2C2', 1: 'R3C1', 2: 'ValidEquations', 3: 'R4C1', 4: 'R2C1', 5: 'R1C1'}}",0.73544973545,0.003,c1zVCHxCEz,Unit CTA1_10
2,1.0,2,"{'Difficulty': {0: 0.0, 1: 1.0, 2: -2.0, 3: 0.0, 4: 1.0}, 'Step Name': {0: 'R3C1', 1: 'ValidEquations', 2: 'R4C1', 3: 'R2C1', 4: 'R1C1'}}",0.824296632233,0.002,c1zVCHxCEz,Unit CTA1_10
